lon2,lat2
99.871735,13.666838
99.966883,13.521933
99.969167,13.52215
99.970533,13.523217
99.958317,13.518417
98.7388,14.604483
99.212483,14.2089
99.948033,15.809967
99.9483,15.80975
99.9727,13.510433
99.92665,13.692683
99.970383,13.523217
99.97355,13.488283
99.966317,13.521767
99.972933,13.503067
99.829367,13.328933
99.96335,13.474517
99.625833,13.458967
99.972733,13.50865
99.825567,13.305483
99.500233,14.0417
99.06985,14.224167
99.972783,13.5073
99.972667,13.51135
98.630667,14.747667
99.934367,13.112
99.7522,15.546515
99.754036,15.551329
99.97484,15.781277
99.162994,14.107121
99.826004,13.305143
99.82668,13.314549
99.99282,15.367603
99.53364,15.102277
99.93543,13.058682
99.77629,13.568255
99.96895,13.522556
99.9137,14.439947
99.98269,13.79915
99.94363,13.319326
99.533646,15.102166
99.53364,15.102233
99.00202,14.284533
99.962975,13.421299
99.96719,13.531654
99.94366,13.113601
99.960236,13.520318
99.76293,13.707294
99.95197,13.440641
99.002266,14.282674
99.55892,14.012277
99.653435,13.288552
99.14407,14.117892
99.95901,13.519278
99.95299,13.515552
99.894325,14.377657
99.95183,13.366901
99.96232,13.521338
99.620995,13.980053
99.97074,13.523665
99.50789,15.070419
99.53392,15.1026
99.7522,15.546618
99.87414,13.812753
99.96955,13.526414
99.45067,13.346028
99.963697,13.328417
99.825277,13.305912
98.66745,14.702068
98.641767,14.742853
99.435177,14.501133
99.96026,13.520333
99.97298,13.503277
99.967267,13.47011
99.825567,13.308482
99.712915,13.114382
99.955403,15.80202
99.974555,15.781535
99.85061,15.951305
99.387833,13.829432
98.845872,14.477612
99.486513,14.064267
99.914278,13.77778
99.101893,14.203163
98.744238,14.595958
99.128118,14.431585
99.989903,13.421735
99.74087,13.538668
99.743493,13.536227
99.742092,13.537375
99.938536,13.782694
99.945879,15.812446
99.884714,13.345906
99.815643,13.795423
99.998789,13.414501
99.825886,13.305326
99.8814,15.9177
99.288818,13.509108
99.406105,14.068778
99.884224,15.276131
99.997948,15.246322
99.0583,14.2249
99.826,13.3581
99.3071,14.0773
99.96,13.5204
99.9336,13.1124
99.4471,13.5466
99.1732,13.882
99.7929,13.5065
99.9983,15.7567
99.005096,14.287589
99.000801,14.281124
99.067429,14.234102
99.934639,13.058473
99.003044,14.28535
98.955444,14.351864
99.960121,13.520195
99.9483,13.0762
99.516617,14.035567
99.8261,13.311
99.9417,13.0526
99.425,14.0912
99.2628,14.176
99.0019,14.2818
99.143379,14.37631
99.96106,13.45853
99.005669,14.27981
99.263847,14.17588
99.8076,13.54811
99.83983,13.34192
99.83963,13.3419
99.78987,14.03525
99.78471,13.52771
99.96233,13.5214
99.78854,13.52784
99.87244,13.70279
99.8196,13.52911
99.79824,13.53769
99.82149,13.26747
99.79628,13.52645
99.45834,14.05596
99.96562,13.43575
99.52581,14.02595
99.91339,13.80159
99.50291,14.05188
99.45543,13.35116
99.55764,14.00299
99.95049,13.07799
99.84005,13.61592
98.36887,14.67806
99.5346,15.46878
99.89722,13.38827
99.54855,14.01172
99.93418,13.10586
99.48645,14.03687
99.14062,14.11977
99.83867,13.55758
99.8229,13.26785
99.18096,14.12084
99.94165,13.44554
99.88902,13.82502
99.82548,13.25277
99.95602,13.41931
99.14278,14.38538
99.79698,14.03077
99.52537,15.29254
99.97087,13.52293
99.97253,13.51851
99.95554,13.51805
99.52795,14.01961
99.70646,14.42891
99.97219,13.48504
99.77366,13.58684
99.78401,13.52826
99.8143,13.52853
99.96587,13.52107
99.97254,13.5146
99.97036,14.41401
99.95894,13.51965
99.99764,13.40763
99.96489,13.43225
99.9202,13.01058
99.93684,14.01041
99.95662,13.42257
99.95837,13.51832
99.82298,13.29496
99.53359,14.02216
99.75851,13.57355
99.5801,13.75498
99.79456,13.48714
99.690037,14.839173
99.971095,14.164827
99.85333,15.949017
99.92039,13.017715
99.860152,15.941703
99.465993,14.019263
99.826733,13.314622
99.82515,13.306023
99.065098,14.229303
99.745238,14.096493
99.917498,13.79487
99.526342,14.025645
99.825873,13.305345
99.829698,13.330398
99.998463,13.405795
99.66257,13.975805
99.939685,13.114277
99.960223,13.520323
99.8814,13.345577
99.941372,13.441407
99.863353,15.07369
99.80638,15.997923
99.86723,15.933855
99.290132,13.991855
99.969415,13.526492
99.972558,13.515782
99.5114,14.03948
99.89628,14.955267
99.6767,15.794218
99.695272,15.781207
99.81163,15.99477
99.892328,15.973767
99.687453,15.78736
98.387305,15.30111
99.597772,13.98045
99.970153,13.523082
99.819667,13.274538
99.820683,13.28121
99.96255,13.422667
99.955225,13.420893
99.158132,14.107305
99.960207,13.520312
